vm,day,workload
1,1,0.742
1,2,0.531
1,3,0.97
2,1,0.649
2,2,0.97
2,3,0.798
3,1,0.579
3,2,0.963
3,3,0.817
4,1,0.093
4,2,0.064
4,3,0.078
5,1,0.024
5,2,0.023
5,3,0.022
6,1,1.306
6,2,0.964
6,3,1.135
7,1,0.522
7,2,0.344
7,3,0.342
8,1,0.103
8,2,0.084
8,3,0.136
9,1,0.478
9,2,0.606
9,3,0.511
10,1,0.227
10,2,0.26
10,3,0.188
11,1,0.22
11,2,0.159
11,3,0.196
12,1,0.728
12,2,0.73
12,3,0.759
13,1,0.125
13,2,0.103
13,3,0.09
14,1,0.164
14,2,0.199
14,3,0.119
15,1,0.125
15,2,0.134
15,3,0.138
16,1,2.056
16,2,2.096
16,3,2.13
17,1,5.441
17,2,7.874
17,3,4.758
18,1,0.425
18,2,0.44
18,3,2.074
19,1,0.116
19,2,0.099
19,3,0.121
20,1,0.993
20,2,0.692
20,3,1.061
21,1,0.619
21,2,0.557
21,3,0.706
22,1,0.022
22,2,0.031
22,3,0
23,1,2.709
23,2,2.204
23,3,3.314
24,1,0.052
24,2,0.064
24,3,0.057
25,1,0.619
25,2,0.57
25,3,0.616
26,1,1.047
26,2,0.931
26,3,1.016
27,1,0.019
27,2,0.02
27,3,0.023
28,1,0
28,2,0.014
28,3,0.011
29,1,0.466
29,2,0.228
29,3,0.289
30,1,0
30,2,0.043
30,3,0.01
31,1,0.006
31,2,0.009
31,3,0.008
32,1,0.437
32,2,0.473
32,3,0.473
33,1,8.379
33,2,4.937
33,3,4.903
34,1,0.295
34,2,0.312
34,3,0.286
35,1,0.31
35,2,0.346
35,3,0.305
36,1,6.373
36,2,5.578
36,3,6.091
37,1,0.046
37,2,0.057
37,3,0.043
38,1,0.038
38,2,0.038
38,3,0.045
39,1,0.049
39,2,0.074
39,3,0.073
40,1,0
40,2,0.008
40,3,0.011
41,1,1.303
41,2,1.033
41,3,0.847
42,1,0.057
42,2,0.07
42,3,0.063
43,1,5.207
43,2,3.652
43,3,4.319
44,1,0.416
44,2,0.454
44,3,0.461
45,1,0.233
45,2,0.178
45,3,0.029
46,1,0.049
46,2,0.066
46,3,0.076
47,1,2.11
47,2,2.168
47,3,2.106
48,1,0.029
48,2,0.018
48,3,0.024
49,1,0.206
49,2,0.315
49,3,0.374
50,1,3.722
50,2,3.415
50,3,3.329
51,1,2.999
51,2,2.567
51,3,3.422
52,1,0.608
52,2,0.685
52,3,0.692
53,1,0.092
53,2,0.101
53,3,0.151
54,1,0.471
54,2,0.62
54,3,0.414
55,1,0.412
55,2,0.277
55,3,0.265
56,1,0.414
56,2,0.248
56,3,0.243
57,1,4.032
57,2,8.585
57,3,4.248
58,1,0.021
58,2,0.035
58,3,0.031
